pfad	vorher_sha256	nachher_sha256	ergebnis
data/zonen/luca_zonen/Sbg.shx	f2f647bede497398a11052e09ee98bc5213f82576c2a3e861073b4fb8ea4224b	f2f647bede497398a11052e09ee98bc5213f82576c2a3e861073b4fb8ea4224b	OK
data/zonen/luca_zonen/Sbg.qmd	631f22b35f119ee5b142a93e6242a4a65d64935e428fbbcd0ff43413f13fd7f0	631f22b35f119ee5b142a93e6242a4a65d64935e428fbbcd0ff43413f13fd7f0	OK
data/zonen/luca_zonen/Sbg.shp	09746b828832f1537efb59957d3a05e0db447c491d2002ce9ed1c2df161279c3	09746b828832f1537efb59957d3a05e0db447c491d2002ce9ed1c2df161279c3	OK
data/zonen/luca_zonen/Sbg.cpg	3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824	3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824	OK
data/zonen/luca_zonen/Stmk.prj	e65678526a7a86d34803b06c1b2412a74ea6df15b446507b8d2c89548af78c9d	e65678526a7a86d34803b06c1b2412a74ea6df15b446507b8d2c89548af78c9d	OK
data/zonen/luca_zonen/Sbg.dbf	9b68ba4ce24f2ee765d28ce341910bda59cca37da08cd3ca14024d948539df93	9b68ba4ce24f2ee765d28ce341910bda59cca37da08cd3ca14024d948539df93	OK
data/admin/VGD_Oesterreich_gen_50_20221002/VGD_50_generalisiert.prj	0a4b5829ac12611b2c088c7a4df54ae79706c63df7a5c3f8b2ba4a5e7d5e6334	0a4b5829ac12611b2c088c7a4df54ae79706c63df7a5c3f8b2ba4a5e7d5e6334	OK
data/admin/VGD_Oesterreich_gen_50_20221002/VGD_50_generalisiert.cpg	3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824	3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824	OK
data/admin/VGD_Oesterreich_gen_50_20221002/VGD_50_generalisiert.shp	81226b55ea4a4febaf4a260f9600ce590fc4662a6f593ecb8602730679c66366	81226b55ea4a4febaf4a260f9600ce590fc4662a6f593ecb8602730679c66366	OK
data/admin/VGD_Oesterreich_gen_50_20221002/VGD_50_generalisiert.shx	d4ce007df770237b8cd1ed967dd6e479c73794b371b851eba6886deea79659d6	d4ce007df770237b8cd1ed967dd6e479c73794b371b851eba6886deea79659d6	OK
data/admin/VGD_Oesterreich_gen_50_20221002/VGD_50_generalisiert.dbf	1371e1e488860f16f0175f411a8b2ed726407b5d7a93ecd575a711efed0099b2	1371e1e488860f16f0175f411a8b2ed726407b5d7a93ecd575a711efed0099b2	OK
data/widmung/wien/genflwidmung_wien.geojson	6b77a3105704ea1bd6b424b2d2c8e76579a643a76ca74701287a65308b506ba7	6b77a3105704ea1bd6b424b2d2c8e76579a643a76ca74701287a65308b506ba7	OK
data/widmung/kaernten/flawi_ktn_gpkg.zip	d005c7f7fd6f25d0c5040e9d8abb61411dc9d21cd139a4260bfe6cb9997af3a3	d005c7f7fd6f25d0c5040e9d8abb61411dc9d21cd139a4260bfe6cb9997af3a3	OK
data/widmung/steiermark/Flaewi.shp.zip	a515a374f3446c5642c7eb5e55d4ce8df1c76ffd5c56a89da44dd83d9ffea041	a515a374f3446c5642c7eb5e55d4ce8df1c76ffd5c56a89da44dd83d9ffea041	OK
data/widmung/steiermark/Bauland.zip	6e71b110827e19af56971bfe8081238df78ffc3af6f2f6bf3405e1b0ec6aef76	6e71b110827e19af56971bfe8081238df78ffc3af6f2f6bf3405e1b0ec6aef76	OK
data/widmung/burgenland/WIDMUNGSFLAECHEN.zip	593b8184ba88e2ae66cc115857bea5a34008cfffbc142acc41f5108fbe6f113d	593b8184ba88e2ae66cc115857bea5a34008cfffbc142acc41f5108fbe6f113d	OK
data/widmung/oberoesterreich/FLWI_WIDMUNGEN_F.zip	0fd90a01250a4760c0f39b0e58c05dd365d2f4a9ee2e0c02c4ad04c13b2df464	0fd90a01250a4760c0f39b0e58c05dd365d2f4a9ee2e0c02c4ad04c13b2df464	OK
data/widmung/vorarlberg/fwp_flaeche.gpkg	caa279f095783838ce316e4d319535ba11185d40bd1e7780483400ceafb7a6be	caa279f095783838ce316e4d319535ba11185d40bd1e7780483400ceafb7a6be	OK
data/widmung/niederoesterreich/RRU_WI_HUELLE.gpkg	c89bfe9b8a48ccd525b5d6655c36e0a2a53df4553769ae7ca51af948b61fbce5	c89bfe9b8a48ccd525b5d6655c36e0a2a53df4553769ae7ca51af948b61fbce5	OK
data/widmung/salzburg/Flaechenwidmung_Shapefile.zip	b3d57d75ac87bf887ae652927e69c70af14465a59dcc411275dd90a8ff62fdb7	b3d57d75ac87bf887ae652927e69c70af14465a59dcc411275dd90a8ff62fdb7	OK
data/widmung/tirol/FLW_Flaechenwidmung_270349538825189369.gpkg	8038622bf14e2ffee38db906925aeae3e44b54adf5902a498e21e2165a11b225	8038622bf14e2ffee38db906925aeae3e44b54adf5902a498e21e2165a11b225	OK
